Beverage_ID,Beverage_Name,Category,Size,Hot_Cold,Ingredients,Milk_Type,Espresso_Shots,Syrup,Toppings,Sweetness_Level,Caffeine_mg,Calories,Sugar_g,Protein_g,Fat_g,Price_USD,Price_INR,Customer_Rating,Number_of_Orders,Popularity,Seasonal,Vegan,Vegetarian,Contains_Dairy,Contains_Nuts,Gluten_Free,Recommended_With,Best_Time,Flavor_Profile,Temperature,Country_Availability
SB00001,Chai Flat White,Flat White,Tall,Hot,"A handcrafted Chai Flat White prepared with premium Starbucks-style coffee or tea, soy milk, none syrup and carefully balanced flavors.",Coconut,1,Toffee Nut,Chocolate Shavings,Low,83,513,23,15.5,11.9,4.76,404.6,4.5,24684,Medium,Yes,Yes,Yes,No,No,Yes,Croissant,Morning,Chocolatey,Hot,Global
SB00002,Mocha Macchiato,Macchiato,Venti,Cold,"A handcrafted Mocha Macchiato prepared with premium Starbucks-style coffee or tea, coconut milk, vanilla syrup and carefully balanced flavors.",Oat,2,None,Caramel Drizzle,Medium,238,481,35,8.9,3.6,4.66,396.1,4.9,12736,Medium,No,No,Yes,Yes,Yes,No,Blueberry Muffin,Evening,Creamy,Cold,Global
SB00003,Hazelnut Latte,Latte,Venti,Hot,"A handcrafted Hazelnut Latte prepared with premium Starbucks-style coffee or tea, almond milk, caramel syrup and carefully balanced flavors.",Skim,3,Toffee Nut,Chocolate Shavings,Medium,5,391,4,19.4,8.8,6.34,538.9,4.6,43094,Very High,Yes,Yes,Yes,Yes,Yes,No,Croissant,Evening,Chocolatey,Hot,USA
SB00004,Strawberry Americano,Americano,Tall,Hot,"A handcrafted Strawberry Americano prepared with premium Starbucks-style coffee or tea, skim milk, hazelnut syrup and carefully balanced flavors.",Almond,1,None,Whipped Cream,Medium,253,50,34,8.6,22.8,5.01,425.85,4.1,12437,Medium,No,No,Yes,Yes,No,Yes,Cheesecake,Afternoon,Nutty,Hot,Canada
SB00005,Mango Refresher,Refresher,Venti,Cold,"A handcrafted Mango Refresher prepared with premium Starbucks-style coffee or tea, coconut milk, none syrup and carefully balanced flavors.",Almond,1,Toffee Nut,Whipped Cream,High,80,298,22,4.0,28.4,5.87,498.95,4.1,13354,Medium,Yes,Yes,Yes,No,Yes,Yes,Blueberry Muffin,Evening,Fruity,Cold,India
SB00006,Vanilla Americano,Americano,Venti,Cold,"A handcrafted Vanilla Americano prepared with premium Starbucks-style coffee or tea, oat milk, toffee nut syrup and carefully balanced flavors.",Oat,4,Toffee Nut,None,Medium,179,534,26,13.6,27.5,3.27,277.95,4.1,6836,Low,Yes,Yes,Yes,No,Yes,No,Blueberry Muffin,Evening,Fruity,Cold,Japan
SB00007,Strawberry Macchiato,Macchiato,Tall,Hot,"A handcrafted Strawberry Macchiato prepared with premium Starbucks-style coffee or tea, almond milk, caramel syrup and carefully balanced flavors.",Whole,0,Vanilla,Caramel Drizzle,High,210,49,13,3.0,2.8,8.44,717.4,4.6,9250,Low,No,Yes,Yes,No,Yes,No,Croissant,Morning,Bold,Hot,USA
SB00008,Mango Refresher,Refresher,Venti,Cold,"A handcrafted Mango Refresher prepared with premium Starbucks-style coffee or tea, almond milk, hazelnut syrup and carefully balanced flavors.",Whole,3,Classic,Whipped Cream,High,62,88,22,9.0,17.7,7.3,620.5,3.8,25966,High,No,Yes,Yes,No,No,No,Cheesecake,Evening,Bold,Cold,Canada
SB00009,White Mocha Espresso,Espresso,Venti,Hot,"A handcrafted White Mocha Espresso prepared with premium Starbucks-style coffee or tea, soy milk, hazelnut syrup and carefully balanced flavors.",Almond,4,Toffee Nut,Whipped Cream,Low,145,554,49,14.0,20.0,3.86,328.1,4.5,35408,High,No,Yes,Yes,No,Yes,Yes,Cookie,Afternoon,Sweet,Hot,UK
SB00010,Vanilla Flat White,Flat White,Tall,Hot,"A handcrafted Vanilla Flat White prepared with premium Starbucks-style coffee or tea, soy milk, toffee nut syrup and carefully balanced flavors.",Almond,3,Classic,Caramel Drizzle,Medium,181,79,37,0.3,2.8,5.66,481.1,4.9,31432,High,Yes,Yes,Yes,No,Yes,Yes,Croissant,Evening,Chocolatey,Hot,Japan
